"Mach","Pressure","Points:0","Points:1","Points:2"
1.0386,3.1524e+05,4.76,0,0
1.0325,3.1803e+05,4.77,0,0
1.0264,3.2082e+05,4.78,0,0
1.0211,3.2334e+05,4.79,0,0
1.0158,3.2585e+05,4.8,0,0
1.0112,3.281e+05,4.81,0,0
1.0066,3.3035e+05,4.82,0,0
1.0028,3.3233e+05,4.83,0,0
0.99894,3.3432e+05,4.84,0,0
0.99577,3.3605e+05,4.85,0,0
0.9926,3.3777e+05,4.86,0,0
0.99005,3.3926e+05,4.87,0,0
0.98751,3.4075e+05,4.88,0,0
0.98556,3.42e+05,4.89,0,0
0.9836,3.4326e+05,4.9,0,0
0.98219,3.443e+05,4.91,0,0
0.98078,3.4534e+05,4.92,0,0
0.97988,3.4617e+05,4.93,0,0
0.97897,3.4701e+05,4.94,0,0
0.97853,3.4766e+05,4.95,0,0
0.97809,3.483e+05,4.96,0,0
0.97808,3.4877e+05,4.97,0,0
0.97806,3.4924e+05,4.98,0,0
0.97845,3.4955e+05,4.99,0,0
0.97883,3.4985e+05,5,0,0
0.97957,3.5001e+05,5.01,0,0
0.98032,3.5016e+05,5.02,0,0
0.98138,3.5017e+05,5.03,0,0
0.98245,3.5019e+05,5.04,0,0
0.9838,3.5008e+05,5.05,0,0
0.98515,3.4997e+05,5.06,0,0
0.98676,3.4975e+05,5.07,0,0
0.98836,3.4954e+05,5.08,0,0
0.99019,3.4922e+05,5.09,0,0
0.99201,3.4891e+05,5.1,0,0
0.99401,3.4851e+05,5.11,0,0
0.99602,3.4812e+05,5.12,0,0
0.99818,3.4765e+05,5.13,0,0
1.0003,3.4718e+05,5.14,0,0
1.0026,3.4665e+05,5.15,0,0
1.0049,3.4613e+05,5.16,0,0
1.0074,3.4554e+05,5.17,0,0
1.0098,3.4496e+05,5.18,0,0
1.0123,3.4433e+05,5.19,0,0
1.0148,3.437e+05,5.2,0,0
1.0174,3.4302e+05,5.21,0,0
1.02,3.4235e+05,5.22,0,0
1.0227,3.4163e+05,5.23,0,0
1.0255,3.4091e+05,5.24,0,0
1.0282,3.4016e+05,5.25,0,0
1.031,3.394e+05,5.26,0,0
1.0339,3.3861e+05,5.27,0,0
1.0368,3.3781e+05,5.28,0,0
1.0397,3.3698e+05,5.29,0,0
1.0427,3.3615e+05,5.3,0,0
1.0457,3.3528e+05,5.31,0,0
1.0487,3.3441e+05,5.32,0,0
1.0519,3.335e+05,5.33,0,0
1.055,3.3258e+05,5.34,0,0
1.0583,3.3161e+05,5.35,0,0
1.0616,3.3064e+05,5.36,0,0
1.065,3.296e+05,5.37,0,0
1.0685,3.2856e+05,5.38,0,0
1.0721,3.2742e+05,5.39,0,0
1.0758,3.2629e+05,5.4,0,0
1.0798,3.2504e+05,5.41,0,0
1.0838,3.2378e+05,5.42,0,0
1.0881,3.2238e+05,5.43,0,0
1.0924,3.2098e+05,5.44,0,0
1.0972,3.194e+05,5.45,0,0
1.102,3.1783e+05,5.46,0,0
1.1073,3.1605e+05,5.47,0,0
1.1126,3.1428e+05,5.48,0,0
1.1185,3.1229e+05,5.49,0,0
1.1243,3.1031e+05,5.5,0,0
1.1308,3.081e+05,5.51,0,0
1.1372,3.0589e+05,5.52,0,0
1.1442,3.0346e+05,5.53,0,0
1.1513,3.0104e+05,5.54,0,0
1.1589,2.984e+05,5.55,0,0
1.1665,2.9576e+05,5.56,0,0
1.1747,2.9293e+05,5.57,0,0
1.1828,2.9011e+05,5.58,0,0
1.1915,2.871e+05,5.59,0,0
1.2002,2.841e+05,5.6,0,0
1.2094,2.8095e+05,5.61,0,0
1.2186,2.7779e+05,5.62,0,0
1.2283,2.745e+05,5.63,0,0
1.238,2.712e+05,5.64,0,0
1.2481,2.6782e+05,5.65,0,0
1.2582,2.6444e+05,5.66,0,0
1.2686,2.61e+05,5.67,0,0
1.2789,2.5757e+05,5.68,0,0
1.2895,2.5413e+05,5.69,0,0
1.3,2.5069e+05,5.7,0,0
1.3107,2.4726e+05,5.71,0,0
1.3214,2.4383e+05,5.72,0,0
1.3322,2.4042e+05,5.73,0,0
1.343,2.3702e+05,5.74,0,0
1.3539,2.3364e+05,5.75,0,0
1.3649,2.3026e+05,5.76,0,0
1.3759,2.2693e+05,5.77,0,0
1.3869,2.2359e+05,5.78,0,0
1.3979,2.203e+05,5.79,0,0
1.409,2.1702e+05,5.8,0,0
1.4201,2.1379e+05,5.81,0,0
1.4312,2.1057e+05,5.82,0,0
1.4423,2.0742e+05,5.83,0,0
1.4534,2.0426e+05,5.84,0,0
1.4645,2.0119e+05,5.85,0,0
1.4755,1.9811e+05,5.86,0,0
1.4865,1.9512e+05,5.87,0,0
1.4976,1.9213e+05,5.88,0,0
1.5085,1.8922e+05,5.89,0,0
1.5195,1.8632e+05,5.9,0,0
1.5303,1.8351e+05,5.91,0,0
1.5412,1.807e+05,5.92,0,0
1.5519,1.7798e+05,5.93,0,0
1.5627,1.7527e+05,5.94,0,0
1.5733,1.7265e+05,5.95,0,0
1.5839,1.7004e+05,5.96,0,0
1.5943,1.6753e+05,5.97,0,0
1.6048,1.6502e+05,5.98,0,0
1.615,1.6261e+05,5.99,0,0
1.6253,1.602e+05,6,0,0
1.6354,1.579e+05,6.01,0,0
1.6454,1.556e+05,6.02,0,0
1.6553,1.5341e+05,6.03,0,0
1.6651,1.5121e+05,6.04,0,0
1.6747,1.4912e+05,6.05,0,0
1.6843,1.4703e+05,6.06,0,0
1.6936,1.4505e+05,6.07,0,0
1.703,1.4307e+05,6.08,0,0
1.7121,1.4119e+05,6.09,0,0
1.7212,1.3931e+05,6.1,0,0
1.73,1.3752e+05,6.11,0,0
1.7388,1.3574e+05,6.12,0,0
1.7473,1.3405e+05,6.13,0,0
1.7559,1.3237e+05,6.14,0,0
1.7641,1.3077e+05,6.15,0,0
1.7724,1.2917e+05,6.16,0,0
1.7804,1.2766e+05,6.17,0,0
1.7884,1.2615e+05,6.18,0,0
1.7961,1.2473e+05,6.19,0,0
1.8039,1.233e+05,6.2,0,0
1.8113,1.2196e+05,6.21,0,0
1.8187,1.2061e+05,6.22,0,0
1.8259,1.1935e+05,6.23,0,0
1.8331,1.1808e+05,6.24,0,0
1.8399,1.1689e+05,6.25,0,0
1.8468,1.157e+05,6.26,0,0
1.8534,1.1458e+05,6.27,0,0
1.8599,1.1347e+05,6.28,0,0
1.8662,1.1242e+05,6.29,0,0
1.8725,1.1137e+05,6.3,0,0
1.8784,1.104e+05,6.31,0,0
1.8844,1.0942e+05,6.32,0,0
1.89,1.0852e+05,6.33,0,0
1.8957,1.0761e+05,6.34,0,0
1.9009,1.0678e+05,6.35,0,0
1.9062,1.0594e+05,6.36,0,0
1.9112,1.0518e+05,6.37,0,0
1.9161,1.0441e+05,6.38,0,0
1.9207,1.0371e+05,6.39,0,0
1.9252,1.0302e+05,6.4,0,0
1.9294,1.0239e+05,6.41,0,0
1.9336,1.0177e+05,6.42,0,0
1.9373,1.0121e+05,6.43,0,0
1.941,1.0066e+05,6.44,0,0
