"Mach","Points:0","Points:1","Points:2"
2.0112,6.43,0,0
2.0136,6.44,0,0
2.0156,6.45,0,0
2.0175,6.46,0,0
2.0188,6.47,0,0
2.0202,6.48,0,0
2.0208,6.49,0,0
2.0215,6.5,0,0
2.0215,6.51,0,0
2.0215,6.52,0,0
2.0207,6.53,0,0
2.0199,6.54,0,0
2.0183,6.55,0,0
2.0166,6.56,0,0
2.0141,6.57,0,0
2.0116,6.58,0,0
2.008,6.59,0,0
2.0045,6.6,0,0
1.9999,6.61,0,0
1.9952,6.62,0,0
1.9894,6.63,0,0
1.9836,6.64,0,0
1.9765,6.65,0,0
1.9694,6.66,0,0
1.9609,6.67,0,0
1.9525,6.68,0,0
1.9425,6.69,0,0
1.9326,6.7,0,0
1.921,6.71,0,0
1.9095,6.72,0,0
1.8964,6.73,0,0
1.8832,6.74,0,0
1.8685,6.75,0,0
1.8538,6.76,0,0
1.8375,6.77,0,0
1.8212,6.78,0,0
1.8035,6.79,0,0
1.7858,6.8,0,0
1.767,6.81,0,0
1.7482,6.82,0,0
1.7285,6.83,0,0
1.7089,6.84,0,0
1.6888,6.85,0,0
1.6688,6.86,0,0
1.6487,6.87,0,0
1.6286,6.88,0,0
1.6089,6.89,0,0
1.5892,6.9,0,0
1.5703,6.91,0,0
1.5514,6.92,0,0
1.5335,6.93,0,0
1.5157,6.94,0,0
1.499,6.95,0,0
1.4824,6.96,0,0
1.4671,6.97,0,0
1.4518,6.98,0,0
1.4378,6.99,0,0
1.4237,7,0,0
1.4108,7.01,0,0
1.398,7.02,0,0
1.3861,7.03,0,0
1.3742,7.04,0,0
1.3632,7.05,0,0
1.3522,7.06,0,0
1.3419,7.07,0,0
1.3317,7.08,0,0
1.3221,7.09,0,0
1.3126,7.1,0,0
1.3036,7.11,0,0
1.2947,7.12,0,0
1.2864,7.13,0,0
1.2781,7.14,0,0
1.2703,7.15,0,0
1.2626,7.16,0,0
1.2554,7.17,0,0
1.2483,7.18,0,0
1.2418,7.19,0,0
1.2352,7.2,0,0
1.2293,7.21,0,0
1.2234,7.22,0,0
1.2182,7.23,0,0
1.213,7.24,0,0
1.2085,7.25,0,0
1.204,7.26,0,0
1.2002,7.27,0,0
1.1964,7.28,0,0
1.1933,7.29,0,0
1.1902,7.3,0,0
1.1878,7.31,0,0
1.1853,7.32,0,0
1.1835,7.33,0,0
1.1816,7.34,0,0
1.1803,7.35,0,0
1.179,7.36,0,0
1.1782,7.37,0,0
1.1774,7.38,0,0
1.177,7.39,0,0
1.1766,7.4,0,0
1.1765,7.41,0,0
1.1764,7.42,0,0
1.1767,7.43,0,0
1.1769,7.44,0,0
1.1773,7.45,0,0
1.1778,7.46,0,0
1.1784,7.47,0,0
1.179,7.48,0,0
1.1799,7.49,0,0
1.1807,7.5,0,0
1.1817,7.51,0,0
1.1827,7.52,0,0
1.1838,7.53,0,0
1.185,7.54,0,0
1.1864,7.55,0,0
1.1877,7.56,0,0
1.1893,7.57,0,0
1.1908,7.58,0,0
1.1925,7.59,0,0
1.1943,7.6,0,0
1.1962,7.61,0,0
1.1981,7.62,0,0
1.2002,7.63,0,0
1.2023,7.64,0,0
1.2046,7.65,0,0
1.2068,7.66,0,0
1.2092,7.67,0,0
1.2116,7.68,0,0
1.2142,7.69,0,0
1.2168,7.7,0,0
1.2195,7.71,0,0
1.2222,7.72,0,0
1.2252,7.73,0,0
1.2281,7.74,0,0
1.2313,7.75,0,0
1.2345,7.76,0,0
1.238,7.77,0,0
1.2415,7.78,0,0
1.2454,7.79,0,0
1.2492,7.8,0,0
1.2535,7.81,0,0
1.2578,7.82,0,0
1.2626,7.83,0,0
1.2674,7.84,0,0
1.2726,7.85,0,0
1.2779,7.86,0,0
1.2837,7.87,0,0
1.2895,7.88,0,0
1.2958,7.89,0,0
1.3021,7.9,0,0
1.3089,7.91,0,0
1.3157,7.92,0,0
1.323,7.93,0,0
1.3303,7.94,0,0
1.338,7.95,0,0
1.3457,7.96,0,0
1.3537,7.97,0,0
1.3618,7.98,0,0
1.3702,7.99,0,0
1.3786,8,0,0
1.3873,8.01,0,0
1.396,8.02,0,0
1.405,8.03,0,0
1.4139,8.04,0,0
1.423,8.05,0,0
1.4322,8.06,0,0
1.4414,8.07,0,0
1.4507,8.08,0,0
1.4601,8.09,0,0
1.4694,8.1,0,0
1.4789,8.11,0,0
1.4883,8.12,0,0
1.4978,8.13,0,0
1.5072,8.14,0,0
1.5167,8.15,0,0
1.5261,8.16,0,0
1.5356,8.17,0,0
1.545,8.18,0,0
1.5543,8.19,0,0
1.5637,8.2,0,0
1.573,8.21,0,0
1.5823,8.22,0,0
1.5914,8.23,0,0
1.6006,8.24,0,0
1.6097,8.25,0,0
1.6188,8.26,0,0
1.6277,8.27,0,0
1.6367,8.28,0,0
1.6455,8.29,0,0
1.6543,8.3,0,0
1.663,8.31,0,0
1.6717,8.32,0,0
1.6802,8.33,0,0
1.6887,8.34,0,0
1.6971,8.35,0,0
1.7054,8.36,0,0
1.7136,8.37,0,0
1.7217,8.38,0,0
1.7297,8.39,0,0
1.7376,8.4,0,0
1.7453,8.41,0,0
1.7531,8.42,0,0
1.7606,8.43,0,0
1.7681,8.44,0,0
1.7754,8.45,0,0
1.7827,8.46,0,0
1.7898,8.47,0,0
1.7968,8.48,0,0
1.8036,8.49,0,0
1.8105,8.5,0,0
1.817,8.51,0,0
1.8236,8.52,0,0
1.8299,8.53,0,0
1.8362,8.54,0,0
1.8423,8.55,0,0
1.8483,8.56,0,0
1.8541,8.57,0,0
1.8599,8.58,0,0
1.8654,8.59,0,0
1.8709,8.6,0,0
1.8761,8.61,0,0
1.8814,8.62,0,0
1.8863,8.63,0,0
1.8912,8.64,0,0
1.8958,8.65,0,0
1.9005,8.66,0,0
1.9047,8.67,0,0
1.909,8.68,0,0
1.9129,8.69,0,0
1.9169,8.7,0,0
1.9204,8.71,0,0
1.924,8.72,0,0
1.9272,8.73,0,0
1.9303,8.74,0,0
1.9331,8.75,0,0
1.9358,8.76,0,0
1.9381,8.77,0,0
1.9404,8.78,0,0
1.9423,8.79,0,0
1.9441,8.8,0,0
1.9455,8.81,0,0
1.9468,8.82,0,0
1.9476,8.83,0,0
1.9484,8.84,0,0
1.9486,8.85,0,0
1.9488,8.86,0,0
1.9485,8.87,0,0
1.9481,8.88,0,0
1.947,8.89,0,0
1.946,8.9,0,0
1.9443,8.91,0,0
1.9426,8.92,0,0
1.9402,8.93,0,0
1.9378,8.94,0,0
1.9346,8.95,0,0
1.9314,8.96,0,0
1.9275,8.97,0,0
1.9235,8.98,0,0
1.9188,8.99,0,0
1.914,9,0,0
1.9085,9.01,0,0
1.9029,9.02,0,0
1.8966,9.03,0,0
1.8902,9.04,0,0
1.883,9.05,0,0
1.8758,9.06,0,0
1.8678,9.07,0,0
1.8599,9.08,0,0
1.8512,9.09,0,0
1.8425,9.1,0,0
1.833,9.11,0,0
1.8236,9.12,0,0
1.8136,9.13,0,0
1.8035,9.14,0,0
1.7929,9.15,0,0
1.7823,9.16,0,0
1.7711,9.17,0,0
1.76,9.18,0,0
1.7486,9.19,0,0
1.7371,9.2,0,0
1.7253,9.21,0,0
1.7135,9.22,0,0
1.7015,9.23,0,0
1.6896,9.24,0,0
1.6775,9.25,0,0
1.6654,9.26,0,0
1.6534,9.27,0,0
1.6413,9.28,0,0
