"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","PT","Pressure","Pressure_Coefficient","Temperature","c","u","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2924,3.9086e+05,2.2992,776.3,14.348,0,2.9628e+05,63054,-6.6196e+17,164.24,261.33,600.81,1,0.924,0.924,0,0
1.2771,3.865e+05,2.31,768.68,14.18,0,2.9346e+05,62032,-6.7438e+17,163.47,260.7,602.15,1,0.93,0.93,0,0
1.2617,3.8214e+05,2.3208,761.06,14.013,0,2.9063e+05,61010,-6.8681e+17,162.69,260.08,603.49,1,0.936,0.936,0,0
1.2464,3.7778e+05,2.3316,753.44,13.845,0,2.878e+05,59987,-6.9924e+17,161.91,259.45,604.83,1,0.942,0.942,0,0
1.2311,3.7342e+05,2.3424,745.82,13.677,0,2.8498e+05,58965,-7.1167e+17,161.13,258.83,606.17,1,0.948,0.948,0,0
1.2157,3.6906e+05,2.3532,738.2,13.509,0,2.8215e+05,57943,-7.241e+17,160.35,258.2,607.51,1,0.954,0.954,0,0
1.2004,3.647e+05,2.364,730.58,13.342,0,2.7932e+05,56920,-7.3653e+17,159.57,257.58,608.85,1,0.96,0.96,0,0
1.1851,3.6034e+05,2.3748,722.96,13.174,0,2.7649e+05,55898,-7.4896e+17,158.79,256.95,610.19,1,0.966,0.966,0,0
1.1712,3.5637e+05,2.3852,715.91,12.985,0,2.7388e+05,54993,-7.5997e+17,158.06,256.36,611.44,1,0.972,0.972,0,0
1.1578,3.5255e+05,2.3956,709.09,12.788,0,2.7134e+05,54136,-7.7039e+17,157.34,255.77,612.66,1,0.978,0.978,0,0
1.1445,3.4873e+05,2.4059,702.27,12.59,0,2.6881e+05,53278,-7.8081e+17,156.62,255.18,613.88,1,0.984,0.984,0,0
1.1312,3.4491e+05,2.4163,695.45,12.393,0,2.6628e+05,52421,-7.9123e+17,155.91,254.6,615.1,1,0.99,0.99,0,0
1.1179,3.4109e+05,2.4266,688.63,12.196,0,2.6374e+05,51564,-8.0166e+17,155.19,254.01,616.31,1,0.996,0.996,0,0
1.1046,3.3727e+05,2.437,681.81,11.998,0,2.6121e+05,50706,-8.1208e+17,154.47,253.43,617.53,1,1.002,1.002,0,0
1.0912,3.3345e+05,2.4473,674.99,11.801,0,2.5868e+05,49849,-8.225e+17,153.75,252.84,618.75,1,1.008,1.008,0,0
1.078,3.2965e+05,2.4577,668.19,11.604,0,2.5615e+05,48996,-8.3287e+17,153.04,252.26,619.96,1,1.014,1.014,0,0
1.0665,3.2634e+05,2.4674,662.18,11.407,0,2.5392e+05,48284,-8.4153e+17,152.39,251.71,621.05,1,1.02,1.02,0,0
1.0551,3.2304e+05,2.4772,656.17,11.21,0,2.5168e+05,47572,-8.5019e+17,151.73,251.17,622.14,1,1.026,1.026,0,0
1.0436,3.1973e+05,2.487,650.15,11.013,0,2.4944e+05,46860,-8.5884e+17,151.08,250.63,623.23,1,1.032,1.032,0,0
1.0322,3.1643e+05,2.4967,644.14,10.817,0,2.472e+05,46148,-8.675e+17,150.43,250.09,624.32,1,1.038,1.038,0,0
1.0207,3.1312e+05,2.5065,638.13,10.62,0,2.4497e+05,45436,-8.7616e+17,149.78,249.55,625.42,1,1.044,1.044,0,0
1.0093,3.0982e+05,2.5162,632.11,10.423,0,2.4273e+05,44724,-8.8481e+17,149.13,249.01,626.51,1,1.05,1.05,0,0
