"Density","Energy","Mach","Pressure","Pressure_Coefficient","Temperature","rp","Points:0","Points:1","Points:2"
5.8425,1.5337e+06,0.8181,5.167e+05,5.2818e+18,297.73,0.64312,-0.35077,0,0
5.7841,1.5204e+06,0.83199,5.0949e+05,5.1881e+18,296.54,0.63414,-0.33846,0,0
5.7258,1.5072e+06,0.84589,5.0227e+05,5.0944e+18,295.35,0.62516,-0.32615,0,0
5.6607,1.4923e+06,0.86119,4.9434e+05,4.9914e+18,294,0.61529,-0.31385,0,0
5.5935,1.4769e+06,0.87697,4.8617e+05,4.8854e+18,292.59,0.60512,-0.30154,0,0
5.5263,1.4615e+06,0.89275,4.7801e+05,4.7793e+18,291.19,0.59496,-0.28923,0,0
5.459,1.4461e+06,0.90853,4.6984e+05,4.6732e+18,289.79,0.58479,-0.27692,0,0
5.3899,1.4301e+06,0.9249,4.6159e+05,4.5661e+18,288.29,0.57452,-0.26462,0,0
5.3209,1.4142e+06,0.94126,4.5334e+05,4.4589e+18,286.8,0.56425,-0.25231,0,0
5.2518,1.3982e+06,0.95763,4.4509e+05,4.3518e+18,285.31,0.55398,-0.24,0,0
5.1806,1.3817e+06,0.97448,4.3664e+05,4.2421e+18,283.76,0.54347,-0.22769,0,0
5.1032,1.3636e+06,0.99278,4.2761e+05,4.1248e+18,282.04,0.53223,-0.21538,0,0
5.0258,1.3455e+06,1.0111,4.1857e+05,4.0075e+18,280.33,0.52098,-0.20308,0,0
4.9485,1.3274e+06,1.0294,4.0954e+05,3.8901e+18,278.61,0.50974,-0.19077,0,0
4.8684,1.3086e+06,1.0485,4.0031e+05,3.7703e+18,276.8,0.49825,-0.17846,0,0
4.7858,1.289e+06,1.0685,3.9089e+05,3.6479e+18,274.89,0.48652,-0.16615,0,0
4.7032,1.2695e+06,1.0886,3.8146e+05,3.5255e+18,272.98,0.47479,-0.15385,0,0
4.6205,1.25e+06,1.1086,3.7204e+05,3.4031e+18,271.08,0.46306,-0.14154,0,0
4.5333,1.2291e+06,1.13,3.6231e+05,3.2768e+18,269.01,0.45096,-0.12923,0,0
